Country,density,land_area_m,agricultural_land,birth_rate,fertility_rate,life_expectancy,proportion_forested,population_m,urban_population_m,co2_emissions
Democratic Republic of the Congo,40.0,2.344858,0.11599999999999999,41.18,5.92,60.4,0.672,86.790567,39.095679,2021.0
Denmark,137.0,0.043094,0.62,10.6,1.73,81.0,0.147,5.818553,5.119978,31786.0
Djibouti,43.0,0.0232,0.7340000000000001,21.47,2.73,66.6,0.002,0.97356,0.758549,620.0
Dominica,96.0,0.000751,0.33299999999999996,12.0,1.9,76.6,0.574,0.071808,0.05083,180.0
Dominican Republic,225.0,0.04867,0.48700000000000004,19.51,2.35,73.9,0.41700000000000004,10.738958,8.787475,25258.0
Ecuador,71.0,0.283561,0.222,19.72,2.43,76.8,0.502,17.373662,11.116711,41155.0
Egypt,103.0,1.00145,0.038,26.38,3.33,71.8,0.001,100.388073,42.895824,238560.0
El Salvador,313.0,0.021041,0.764,18.25,2.04,73.1,0.126,6.453553,4.694702,7169.0
Equatorial Guinea,50.0,0.028051,0.10099999999999999,33.24,4.51,58.4,0.555,1.355986,0.984812,5655.0
Eritrea,35.0,0.1176,0.752,30.3,4.06,65.9,0.149,6.333135,1.14967,711.0
Estonia,31.0,0.045228,0.231,10.9,1.59,78.2,0.513,1.331824,0.916024,16590.0
Ethiopia,115.0,1.1043,0.363,32.34,4.25,66.2,0.125,112.07873,23.78871,14870.0
Fiji,49.0,0.018274,0.233,21.28,2.77,67.3,0.5589999999999999,0.889953,0.505048,2046.0
Finland,18.0,0.338145,0.075,8.6,1.41,81.7,0.731,5.520314,4.716888,45871.0
France,119.0,0.643801,0.524,11.3,1.88,82.5,0.312,67.059887,54.123364,303276.0
Gabon,9.0,0.267667,0.2,31.61,3.97,66.2,0.9,2.172579,1.949694,5321.0
The Gambia,239.0,0.0113,0.598,38.54,5.22,61.7,0.484,2.347706,1.453958,532.0
Georgia,57.0,0.0697,0.345,13.47,2.06,73.6,0.406,3.720382,2.196476,10128.0
Germany,240.0,0.357022,0.47700000000000004,9.5,1.56,80.9,0.327,83.132799,64.324835,727973.0
Ghana,137.0,0.238533,0.69,29.41,3.87,63.8,0.41200000000000003,30.792608,17.249054,16670.0
Greece,81.0,0.131957,0.47600000000000003,8.1,1.35,81.3,0.317,10.716322,8.507474,62434.0
Grenada,331.0,0.000349,0.235,16.47,2.06,72.4,0.5,0.112003,0.040765,268.0
Guatemala,167.0,0.108889,0.36,24.56,2.87,74.1,0.327,16.604026,8.540945,16777.0
Guinea,53.0,0.245857,0.59,36.36,4.7,61.2,0.258,12.771246,4.661505,2996.0
Guinea-Bissau,70.0,0.036125,0.58,35.13,4.48,58.0,0.698,1.920922,0.840922,293.0
Guyana,4.0,0.214969,0.086,19.97,2.46,69.8,0.8390000000000001,0.782766,0.208912,2384.0
Haiti,414.0,0.02775,0.6679999999999999,24.35,2.94,63.7,0.035,11.263077,6.328948,2978.0
Honduras,89.0,0.11209,0.289,21.6,2.46,75.1,0.4,9.746117,5.626433,9813.0
Hungary,107.0,0.093028,0.584,9.6,1.54,75.8,0.22899999999999998,9.769949,6.999582,45537.0
Iceland,3.0,0.103,0.187,12.0,1.71,82.7,0.005,0.361313,0.33911,2065.0
India,464.0,3.287263,0.604,17.86,2.22,69.4,0.23800000000000002,1366.417754,471.031528,2407672.0
Indonesia,151.0,1.904569,0.315,18.07,2.31,71.5,0.499,270.203917,151.509724,563325.0
Iran,52.0,1.648195,0.282,18.78,2.14,76.5,0.066,82.913906,62.509623,661710.0
Iraq,93.0,0.438317,0.214,29.08,3.67,70.5,0.019,39.309783,27.783368,190061.0
Republic of Ireland,72.0,0.070273,0.645,12.5,1.75,82.3,0.11,5.007069,3.133123,37711.0
Israel,400.0,0.02077,0.24600000000000002,20.8,3.09,82.8,0.077,9.0533,8.374393,65166.0
Italy,206.0,0.30134,0.43200000000000005,7.3,1.29,82.9,0.318,60.297396,42.651966,320411.0
Jamaica,273.0,0.010991,0.41,16.1,1.98,74.4,0.309,2.948279,1.650594,8225.0
Japan,347.0,0.377944,0.12300000000000001,7.4,1.42,84.2,0.685,126.226568,115.782416,1135886.0
Jordan,115.0,0.089342,0.12,21.98,2.76,74.4,0.011000000000000001,10.101694,9.213048,25108.0
Kazakhstan,7.0,2.7249,0.804,21.77,2.84,73.2,0.012,18.51393,10.652915,247207.0
Kenya,94.0,0.580367,0.485,28.75,3.49,66.3,0.078,52.573973,14.461523,17910.0
Kiribati,147.0,0.000811,0.42,27.89,3.57,68.1,0.15,0.117606,0.064489,66.0
